Dataset: Circle
Points: 50, Hidden Layers: 10, Learning Rate: 0.5
Epoch, Loss, Correct
10, 27.747114, 34
20, 25.058797, 35
30, 22.575309, 41
40, 22.064901, 43
50, 18.078556, 46
60, 19.762356, 43
70, 18.157481, 44
80, 17.118178, 44
90, 16.494293, 43
100, 15.440950, 43
110, 14.485599, 43
120, 14.851727, 44
130, 12.797886, 45
140, 13.214391, 44
150, 11.876188, 45
160, 10.515470, 46
170, 14.872625, 45
180, 9.102442, 47
190, 8.812101, 46
200, 9.593125, 46
210, 14.091475, 44
220, 6.372550, 49
230, 5.283909, 49
240, 4.874384, 49
250, 5.101635, 49
260, 10.191333, 46
270, 11.405196, 42
280, 4.484020, 49
290, 4.123695, 49
300, 3.870667, 49
310, 3.622878, 49
320, 3.428278, 49
330, 3.219095, 49
340, 3.327355, 49
350, 3.848978, 49
360, 7.057436, 48
370, 17.703072, 44
380, 10.916069, 42
390, 3.195957, 49
400, 2.934921, 49
410, 2.776762, 49
420, 2.639483, 50
430, 2.514309, 50
440, 2.403894, 50
450, 2.296438, 50
460, 2.194357, 50
470, 2.095555, 50
480, 2.010472, 50
490, 1.926458, 50
500, 1.852177, 50
