Dataset: Diag
Points: 50, Hidden Layers: 10, Learning Rate: 0.5
Epoch, Loss, Correct
10, 19.198041, 40
20, 15.291140, 41
30, 11.982312, 43
40, 9.819189, 46
50, 11.021238, 42
60, 10.420552, 42
70, 8.200942, 45
80, 11.335803, 42
90, 6.320113, 46
100, 9.775144, 43
110, 5.550423, 47
120, 9.387255, 43
130, 5.418311, 46
140, 5.020369, 46
150, 4.759320, 47
160, 4.012760, 49
170, 4.405581, 49
180, 4.698119, 46
190, 4.224208, 49
200, 3.876436, 49
210, 3.894324, 49
220, 3.965606, 49
230, 3.687602, 49
240, 3.788433, 49
250, 3.753300, 49
260, 3.492852, 49
270, 3.257000, 49
280, 3.547085, 49
290, 3.672213, 49
300, 3.055993, 49
310, 3.411112, 49
320, 3.266310, 49
330, 3.103699, 49
340, 3.247477, 49
350, 3.113772, 49
360, 3.011564, 49
370, 3.108319, 49
380, 2.711787, 49
390, 2.974713, 49
400, 3.105193, 49
410, 2.560539, 49
420, 1.994701, 50
430, 1.648236, 50
440, 2.528984, 49
450, 2.903815, 49
460, 1.485974, 50
470, 1.250625, 50
480, 1.180043, 50
490, 1.128339, 50
500, 1.100506, 50
