Dataset: Simple
Points: 50, Hidden Layers: 10, Learning Rate: 0.5
Epoch, Loss, Correct
10, 13.474363, 47
20, 7.191930, 47
30, 17.122676, 43
40, 4.658654, 48
50, 3.625969, 49
60, 3.264055, 49
70, 4.468564, 47
80, 6.448833, 46
90, 3.524353, 48
100, 2.509004, 49
110, 2.104381, 49
120, 1.917167, 50
130, 1.717753, 50
140, 1.759832, 49
150, 1.606751, 50
160, 1.547384, 50
170, 1.234845, 50
180, 0.995929, 50
190, 0.893861, 50
200, 0.821970, 50
210, 0.770119, 50
220, 0.721275, 50
230, 0.677255, 50
240, 0.637304, 50
250, 0.600843, 50
260, 0.568162, 50
270, 0.538161, 50
280, 0.511376, 50
290, 0.485937, 50
300, 0.462737, 50
310, 0.440887, 50
320, 0.418920, 50
330, 0.401186, 50
340, 0.384191, 50
350, 0.368103, 50
360, 0.351938, 50
370, 0.338215, 50
380, 0.324517, 50
390, 0.312584, 50
400, 0.300517, 50
410, 0.289928, 50
420, 0.279236, 50
430, 0.269461, 50
440, 0.260558, 50
450, 0.251558, 50
460, 0.243223, 50
470, 0.235726, 50
480, 0.228260, 50
490, 0.221009, 50
500, 0.214278, 50
