Dataset: Xor
Points: 50, Hidden Layers: 10, Learning Rate: 0.5
Epoch, Loss, Correct
10, 33.277179, 23
20, 32.335808, 26
30, 31.301262, 30
40, 29.815025, 32
50, 27.843199, 36
60, 29.851879, 27
70, 24.924958, 37
80, 20.076969, 44
90, 18.822232, 43
100, 18.170423, 41
110, 14.261273, 45
120, 16.302641, 42
130, 12.930290, 46
140, 12.395125, 46
150, 14.343653, 45
160, 11.681373, 46
170, 10.159863, 46
180, 9.960752, 46
190, 10.933165, 46
200, 13.555695, 46
210, 10.751805, 46
220, 9.735816, 46
230, 9.767395, 46
240, 9.922878, 46
250, 10.213912, 46
260, 10.172737, 46
270, 10.163531, 46
280, 9.986435, 46
290, 10.046880, 46
300, 10.000546, 46
310, 9.980879, 46
320, 9.819044, 46
330, 9.811097, 46
340, 9.637819, 46
350, 9.512488, 46
360, 9.395311, 46
370, 9.366051, 46
380, 9.322130, 46
390, 9.268955, 46
400, 8.987596, 46
410, 8.935078, 46
420, 8.901447, 46
430, 8.894342, 46
440, 8.926962, 46
450, 8.797331, 46
460, 8.635413, 46
470, 8.534784, 46
480, 8.502473, 46
490, 8.416971, 46
500, 8.214895, 46
